Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
25,,Ammonia 2.0,0.2898,mg N/L,0.301493,Wed Aug 20 19:42:55 2025,1,1
25,,Nitrate 2,0.0692,mg N/L,0.042608,Wed Aug 20 23:48:09 2025,1,1
26,,Ammonia 2.0,0.6049,mg N/L,0.429868,Wed Aug 20 19:44:53 2025,1,1
26,,Nitrate 2,0.0595,mg N/L,0.040239,Wed Aug 20 23:50:12 2025,1,1
C C V,,Ammonia 2.0,1.1183,mg N/L,0.639028,Wed Aug 20 19:46:52 2025,1,1
C C V,,Nitrate 2,1.014,mg N/L,0.274017,Wed Aug 20 23:52:15 2025,1,1
C C B ,,Ammonia 2.0,-0.008,mg N/L,0.180169,Wed Aug 20 19:48:51 2025,1,1
C C B ,,Nitrate 2,-0.0247,mg N/L,0.01961,Wed Aug 20 23:54:19 2025,1,1
27,,Ammonia 2.0,0.5907,mg N/L,0.424062,Wed Aug 20 19:50:49 2025,1,1
27,,Nitrate 2,0.1538,mg N/L,0.063331,Wed Aug 20 23:56:22 2025,1,1
28,,Ammonia 2.0,0.6533,mg N/L,0.449564,Wed Aug 20 19:52:47 2025,1,1
28,,Nitrate 2,0.0764,mg N/L,0.044378,Wed Aug 20 23:58:27 2025,1,1
29,,Ammonia 2.0,0.5117,mg N/L,0.391887,Wed Aug 20 19:54:45 2025,1,1
29,,Nitrate 2,0.0428,mg N/L,0.036139,Thu Aug 21 00:00:31 2025,1,1
6,,Ammonia 2.0,0.3661,mg N/L,0.332568,Wed Aug 20 19:56:46 2025,1,1
6,,Nitrate 2,0.1229,mg N/L,0.055748,Thu Aug 21 00:02:34 2025,1,1
30,,Ammonia 2.0,0.6257,mg N/L,0.438332,Wed Aug 20 19:58:46 2025,1,1
30,,Nitrate 2,0.0296,mg N/L,0.032911,Thu Aug 21 00:04:37 2025,1,1
31,,Ammonia 2.0,0.6495,mg N/L,0.44805,Wed Aug 20 20:00:44 2025,1,1
31,,Nitrate 2,0.0268,mg N/L,0.032226,Thu Aug 21 00:06:40 2025,1,1
32,,Ammonia 2.0,0.3281,mg N/L,0.317093,Wed Aug 20 20:02:42 2025,1,1
32,,Nitrate 2,0.0688,mg N/L,0.042501,Thu Aug 21 00:08:43 2025,1,1
33,,Ammonia 2.0,0.3,mg N/L,0.305626,Wed Aug 20 20:04:40 2025,1,1
33,,Nitrate 2,0.0077,mg N/L,0.027553,Thu Aug 21 00:10:45 2025,1,1
34,,Ammonia 2.0,0.4658,mg N/L,0.373177,Wed Aug 20 20:06:39 2025,1,1
34,,Nitrate 2,0.0543,mg N/L,0.038969,Thu Aug 21 00:12:48 2025,1,1
35,,Ammonia 2.0,0.3382,mg N/L,0.321219,Wed Aug 20 20:08:37 2025,1,1
35,,Nitrate 2,0.2463,mg N/L,0.085985,Thu Aug 21 00:14:51 2025,1,1
C C V,,Ammonia 2.0,1.1259,mg N/L,0.642119,Wed Aug 20 20:10:35 2025,1,1
C C V,,Nitrate 2,1.0444,mg N/L,0.281475,Thu Aug 21 00:16:53 2025,1,1
C C B ,,Ammonia 2.0,-0.0224,mg N/L,0.174306,Wed Aug 20 20:12:34 2025,1,1
C C B ,,Nitrate 2,-0.0252,mg N/L,0.019495,Thu Aug 21 00:18:56 2025,1,1
36,,Ammonia 2.0,0.4625,mg N/L,0.371847,Wed Aug 20 20:14:33 2025,1,1
36,,Nitrate 2,0.0907,mg N/L,0.047862,Thu Aug 21 00:20:59 2025,1,1
37,,Ammonia 2.0,1.036,mg N/L,0.605483,Wed Aug 20 20:16:31 2025,1,1
37,,Nitrate 2,0.3671,mg N/L,0.115575,Thu Aug 21 00:23:04 2025,1,1
38,,Ammonia 2.0,0.7103,mg N/L,0.47279,Wed Aug 20 20:18:30 2025,1,1
38,,Nitrate 2,0.0377,mg N/L,0.034896,Thu Aug 21 00:25:08 2025,1,1
39,,Ammonia 2.0,0.7756,mg N/L,0.499397,Wed Aug 20 20:20:31 2025,1,1
39,,Nitrate 2,0.3036,mg N/L,0.100024,Thu Aug 21 00:27:11 2025,1,1
40,,Ammonia 2.0,0.8763,mg N/L,0.540442,Wed Aug 20 20:22:31 2025,1,1
40,,Nitrate 2,0.0521,mg N/L,0.038425,Thu Aug 21 00:29:13 2025,1,1
41,,Ammonia 2.0,0.4048,mg N/L,0.348352,Wed Aug 20 20:24:30 2025,1,1
41,,Nitrate 2,0.0044,mg N/L,0.02673,Thu Aug 21 00:31:16 2025,1,1
42,,Ammonia 2.0,1.1181,mg N/L,0.638955,Wed Aug 20 20:26:29 2025,1,1
42,,Nitrate 2,0.15,mg N/L,0.06239,Thu Aug 21 00:33:18 2025,1,1
43,,Ammonia 2.0,0.3692,mg N/L,0.333856,Wed Aug 20 20:28:28 2025,1,1
43,,Nitrate 2,0.0435,mg N/L,0.036304,Thu Aug 21 00:35:20 2025,1,1
44,,Ammonia 2.0,1.0051,mg N/L,0.592904,Wed Aug 20 20:30:27 2025,1,1
44,,Nitrate 2,0.0164,mg N/L,0.029676,Thu Aug 21 00:37:22 2025,1,1
45,,Ammonia 2.0,0.5725,mg N/L,0.416659,Wed Aug 20 20:32:25 2025,1,1
45,,Nitrate 2,0.2233,mg N/L,0.080351,Thu Aug 21 00:39:25 2025,1,1
C C V,,Ammonia 2.0,1.1479,mg N/L,0.651075,Wed Aug 20 20:34:25 2025,1,1
C C V,,Nitrate 2,1.0066,mg N/L,0.272205,Thu Aug 21 00:41:27 2025,1,1
C C B ,,Ammonia 2.0,-0.0642,mg N/L,0.157262,Wed Aug 20 20:36:24 2025,1,1
C C B ,,Nitrate 2,-0.0223,mg N/L,0.020203,Thu Aug 21 00:43:30 2025,1,1
46,,Ammonia 2.0,0.591,mg N/L,0.424196,Wed Aug 20 20:38:24 2025,1,1
46,,Nitrate 2,0.0126,mg N/L,0.028731,Thu Aug 21 00:45:32 2025,1,1
47,,Ammonia 2.0,0.616,mg N/L,0.4344,Wed Aug 20 20:40:23 2025,1,1
47,,Nitrate 2,0.0605,mg N/L,0.040466,Thu Aug 21 00:47:37 2025,1,1
48,,Ammonia 2.0,1.4152,mg N/L,0.759988,Wed Aug 20 20:42:23 2025,1,1
48,,Nitrate 2,0.2177,mg N/L,0.078974,Thu Aug 21 00:49:42 2025,1,1
49,,Ammonia 2.0,1.2642,mg N/L,0.698474,Wed Aug 20 20:44:23 2025,1,1
49,,Nitrate 2,0.172,mg N/L,0.067794,Thu Aug 21 00:51:44 2025,1,1
50,,Ammonia 2.0,0.2582,mg N/L,0.288605,Wed Aug 20 20:46:24 2025,1,1
50,,Nitrate 2,0.131,mg N/L,0.057746,Thu Aug 21 00:53:47 2025,1,1
51,,Ammonia 2.0,0.4288,mg N/L,0.358132,Wed Aug 20 20:48:23 2025,1,1
51,,Nitrate 2,0.0223,mg N/L,0.031127,Thu Aug 21 00:55:49 2025,1,1
52,,Ammonia 2.0,0.3056,mg N/L,0.30793,Wed Aug 20 20:50:22 2025,1,1
52,,Nitrate 2,0.0066,mg N/L,0.027274,Thu Aug 21 00:57:52 2025,1,1
53,,Ammonia 2.0,0.3362,mg N/L,0.320391,Wed Aug 20 20:52:21 2025,1,1
53,,Nitrate 2,0.0142,mg N/L,0.02913,Thu Aug 21 00:59:54 2025,1,1
54,,Ammonia 2.0,0.2949,mg N/L,0.303555,Wed Aug 20 20:54:20 2025,1,1
54,,Nitrate 2,0.0089,mg N/L,0.027847,Thu Aug 21 01:01:57 2025,1,1
55,,Ammonia 2.0,0.4577,mg N/L,0.369889,Wed Aug 20 20:56:19 2025,1,1
55,,Nitrate 2,0.2133,mg N/L,0.077899,Thu Aug 21 01:04:02 2025,1,1
C C V,,Ammonia 2.0,1.1217,mg N/L,0.640387,Wed Aug 20 20:58:18 2025,1,1
C C V,,Nitrate 2,1.0151,mg N/L,0.274303,Thu Aug 21 01:06:06 2025,1,1
C C B ,,Ammonia 2.0,-0.0444,mg N/L,0.165331,Wed Aug 20 21:00:20 2025,1,1
C C B ,,Nitrate 2,-0.0252,mg N/L,0.019495,Thu Aug 21 01:07:01 2025,1,1
56,,Ammonia 2.0,0.7613,mg N/L,0.493561,Wed Aug 20 21:02:21 2025,1,1
56,,Nitrate 2,0.0245,mg N/L,0.031647,Thu Aug 21 01:07:57 2025,1,1
57,,Ammonia 2.0,0.6027,mg N/L,0.428962,Wed Aug 20 21:04:00 2025,1,1
57,,Nitrate 2,0.0556,mg N/L,0.039271,Thu Aug 21 01:08:51 2025,1,1
58,,Ammonia 2.0,0.4541,mg N/L,0.368412,Wed Aug 20 21:05:38 2025,1,1
58,,Nitrate 2,0.0697,mg N/L,0.04273,Thu Aug 21 01:09:46 2025,1,1
59,,Ammonia 2.0,0.3668,mg N/L,0.33284,Wed Aug 20 21:07:17 2025,1,1
59,,Nitrate 2,0.0958,mg N/L,0.049128,Thu Aug 21 01:10:40 2025,1,1
60,,Ammonia 2.0,0.6446,mg N/L,0.446023,Wed Aug 20 21:08:55 2025,1,1
60,,Nitrate 2,0.0566,mg N/L,0.039528,Thu Aug 21 01:11:35 2025,1,1
C C V,,Ammonia 2.0,1.1373,mg N/L,0.646761,Wed Aug 20 21:12:13 2025,1,1
C C V,,Nitrate 2,0.9684,mg N/L,0.26285,Thu Aug 21 01:13:24 2025,1,1
C C B ,,Ammonia 2.0,-0.0275,mg N/L,0.17221,Wed Aug 20 21:13:52 2025,1,1
C C B ,,Nitrate 2,-0.0273,mg N/L,0.018961,Thu Aug 21 01:14:19 2025,1,1
